"RouterFile","RouterPrefix","RouterTags","RouterDependencies","Method","CanonicalPath","LegacyPath","Handler","HandlerFile","EndpointDependencies","AllDependencies","AuthType","Roles","MiddlewareRelevant","RequestModels","ResponseModel","DbTablesTouched"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\admin.py","/admin","admin","require_api_key","DELETE","/api/v1/admin/devices/{device_install_id}","/admin/devices/{device_install_id}","admin.delete_device","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\admin.py:85","get_db","require_api_keyget_db","None/Unknown","","legacy_deprecation_headers(on legacy path), CORS","raise","OkResponse","devices, telemetry_snapshots"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\admin.py","/admin","admin","require_api_key","DELETE","/api/v1/admin/devices/{device_install_id}/snapshots/{snapshot_id}","/admin/devices/{device_install_id}/snapshots/{snapshot_id}","admin.delete_snapshot","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\admin.py:97","get_db","require_api_keyget_db","None/Unknown","","legacy_deprecation_headers(on legacy path), CORS","raise","OkResponse","devices, telemetry_snapshots"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\admin.py","/admin","admin","require_api_key","GET","/api/v1/admin/devices/overview","/admin/devices/overview","admin.devices_overview","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\admin.py:20","get_db","require_api_keyget_db","None/Unknown","","legacy_deprecation_headers(on legacy path), CORS","by_device[install_id], envelope, install_id","DeviceOverviewResponse","devices, telemetry_snapshots"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\agent.py","/agent","agent","","POST","/api/v1/agent/heartbeat","/agent/heartbeat","agent.heartbeat","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\agent.py:129","get_db, require_agent_auth","get_db, require_agent_auth","API-Key or Device-Token","","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","AgentHeartbeatResponse","devices"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\agent.py","/agent","agent","","POST","/api/v1/agent/inventory","/agent/inventory","agent.inventory","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\agent.py:144","get_db, require_agent_auth","get_db, require_agent_auth","API-Key or Device-Token","","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","AgentInventoryResponse","device_inventory, devices"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\agent.py","/agent","agent","","POST","/api/v1/agent/register","/agent/register","agent.register","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\agent.py:95","get_db, require_agent_auth, require_api_key","get_db, require_agent_auth, require_api_key","API-Key or Device-Token","","pre_auth_rate_limit, body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","device.agent_version, device.os_name, device.primary_ip","AgentRegisterResponse","devices"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\agent.py","/agent","agent","","POST","/api/v1/agent/token/rotate","/agent/token/rotate","agent.rotate_token","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\agent.py:163","get_db, require_agent_auth","get_db, require_agent_auth","API-Key or Device-Token","","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","AgentTokenRotateResponse","device_tokens, devices"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/devices","/console/devices","console.list_devices","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:356","get_db, require_api_key","get_db, require_api_key","API-Key","","legacy_deprecation_headers(on legacy path), CORS","","DeviceListResponse","devices"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/devices/{device_id}","/console/devices/{device_id}","console.device_detail","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:396","get_db, require_api_key","get_db, require_api_key","API-Key","","legacy_deprecation_headers(on legacy path), CORS","raise","DeviceDetailResponse","devices"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/devices/{device_id}/inventory/latest","/console/devices/{device_id}/inventory/latest","console.latest_inventory","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:414","get_db, require_api_key, require_console_user","get_db, require_api_key, require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","raise","LatestInventoryResponse","device_inventory, devices"
