"Table","Column","PyType","ColumnType","Nullable","PrimaryKey","Unique","Indexed","Default","ForeignKey"
"device_inventory","collected_at","datetime","DateTime(timezone=True","False","False","False","False","",""
"device_inventory","created_at","datetime","DateTime(timezone=True","False","False","False","False","func.now(",""
"device_inventory","device_id","uuid.UUID","UUID(as_uuid=True","False","False","False","True","","devices.id"
"device_inventory","id","uuid.UUID","UUID(as_uuid=True","unknown","True","False","False","uuid.uuid4",""
"device_inventory","payload","dict","JSONB","False","False","False","False","",""
"device_tokens","created_at","datetime","DateTime(timezone=True","False","False","False","False","func.now(",""
"device_tokens","device_install_id","str","String(128","False","False","False","True","","devices.device_install_id"
"device_tokens","expires_at","datetime | None","DateTime(timezone=True","True","False","False","False","",""
"device_tokens","id","uuid.UUID","UUID(as_uuid=True","unknown","True","False","False","uuid.uuid4",""
"device_tokens","last_used_at","datetime | None","DateTime(timezone=True","True","False","False","False","",""
"device_tokens","revoked_at","datetime | None","DateTime(timezone=True","True","False","False","False","",""
"device_tokens","token_hash","str","String(128","False","False","True","False","",""
"devices","agent_channel","str | None","String","True","False","False","False","",""
"devices","agent_version","str | None","String","True","False","False","False","",""
"devices","blocked","bool","Boolean","False","False","False","False","""false""",""
"devices","created_at","datetime","DateTime(timezone=True","False","False","False","False","func.now(",""
"devices","device_install_id","str","String(128","False","False","True","False","",""
"devices","host_name","str | None","String(255","True","False","False","True","",""
"devices","id","uuid.UUID","UUID(as_uuid=True","unknown","True","False","False","uuid.uuid4",""
"devices","last_seen_at","datetime | None","DateTime(timezone=True","True","False","False","True","",""
"devices","macs","dict | None","JSONB","True","False","False","False","",""
"devices","os_build","str | None","String","True","False","False","False","",""
"devices","os_name","str | None","String","True","False","False","False","",""
"devices","os_version","str | None","String","True","False","False","False","",""
"devices","primary_ip","str | None","String","True","False","False","False","",""
"feature_overrides","enabled","bool","Boolean","False","False","False","False","""true""",""
"feature_overrides","feature_key","str","String(64","False","False","False","False","",""
"feature_overrides","id","uuid.UUID","UUID(as_uuid=True","unknown","True","False","False","uuid.uuid4",""
"feature_overrides","notes","str | None","Text","True","False","False","False","",""
"feature_overrides","platform","str","String(32","False","False","False","False","""all""",""
"feature_overrides","rollout_percent","int","Integer","False","False","False","False","""100""",""
"feature_overrides","scope","str","String(32","False","False","False","False","""global""",""
"feature_overrides","target_id","str | None","String(128","True","False","False","False","",""
"feature_overrides","updated_at","datetime","DateTime(timezone=True","False","False","False","False","func.now(",""
"feature_overrides","version_min","str | None","String(32","True","False","False","False","",""
"licenses","activated_at","datetime | None","DateTime(timezone=True","True","False","False","False","",""
"licenses","activated_by_user_id","str | None","String(128","True","False","False","False","",""
"licenses","activated_device_install_id","str | None","String(128","True","False","False","True","",""
"licenses","created_at","datetime","DateTime(timezone=True","False","False","False","False","func.now(",""
"licenses","duration_days","int | None","Integer","True","False","False","False","",""
"licenses","expires_at","datetime | None","DateTime(timezone=True","True","False","False","True","",""
"licenses","id","uuid.UUID","UUID(as_uuid=True","unknown","True","False","False","uuid.uuid4",""
"licenses","issued_at","datetime","DateTime(timezone=True","False","False","False","False","func.now(",""
"licenses","license_key","str","String(128","False","False","True","True","",""
"licenses","state","str","String(24","False","False","False","True","""issued""",""
"licenses","tier","str","String(32","False","False","False","False","",""
"licenses","updated_at","datetime","DateTime(timezone=True","False","False","False","False","func.now(",""
"plans","created_at","datetime","DateTime(timezone=True","False","False","False","False","func.now(",""
"plans","duration_days","int | None","Integer","True","False","False","False","",""
"plans","feature_flags","dict | None","JSONB","True","False","False","False","",""
"plans","grace_period_days","int","Integer","False","False","False","False","7",""
"plans","id","str","String(32","unknown","True","False","False","",""
"plans","is_active","bool","Boolean","False","False","False","False","True",""
"plans","label","str","String(64","False","False","False","False","",""
"plans","max_devices","int | None","Integer","True","False","False","False","",""
"plans","price_eur","float | None","Float","True","False","False","False","",""
"plans","sort_order","int","Integer","False","False","False","False","0",""
"plans","stripe_price_id","str | None","String(128","True","False","False","False","",""
"plans","updated_at","datetime","DateTime(timezone=True","False","False","False","False","func.now(",""
"subscriptions","created_at","datetime","DateTime(timezone=True","False","False","False","False","func.now(",""
"subscriptions","current_period_end","datetime | None","DateTime(timezone=True","True","False","False","False","",""
"subscriptions","current_period_start","datetime | None","DateTime(timezone=True","True","False","False","False","",""
"subscriptions","grace_until","datetime | None","DateTime(timezone=True","True","False","False","False","",""
"subscriptions","id","uuid.UUID","UUID(as_uuid=True","unknown","True","False","False","uuid.uuid4",""
"subscriptions","keycloak_user_id","str","String(128","False","False","False","True","",""
"subscriptions","license_id","uuid.UUID | None","UUID(as_uuid=True","True","False","False","False","","licenses.id"
"subscriptions","plan_id","str | None","String(32","True","False","False","False","","plans.id"
"subscriptions","status","str","String(24","False","False","False","True","""active""",""
"subscriptions","stripe_customer_id","str | None","String(128","True","False","False","True","",""
"subscriptions","stripe_price_id","str | None","String(128","True","False","False","False","",""
"subscriptions","stripe_subscription_id","str | None","String(128","True","False","False","True","",""
"subscriptions","trial_used","bool","Boolean","False","False","False","False","False",""
"subscriptions","updated_at","datetime","DateTime(timezone=True","False","False","False","False","func.now(",""
"telemetry_snapshots","category","str","String(64","False","False","False","True","",""
"telemetry_snapshots","device_id","uuid.UUID","UUID(as_uuid=True","False","False","False","True","","devices.id"
"telemetry_snapshots","id","uuid.UUID","UUID(as_uuid=True","unknown","True","False","False","uuid.uuid4",""
"telemetry_snapshots","payload","dict","JSONB","False","False","False","False","",""
"telemetry_snapshots","received_at","datetime","DateTime(timezone=True","False","False","False","True","func.now(",""
"telemetry_snapshots","source","str","String(32","False","False","False","False","",""
"telemetry_snapshots","summary","str | None","String(512","True","False","False","False","",""
"webhook_events","created_at","datetime","DateTime(timezone=True","False","False","False","False","func.now(",""
"webhook_events","event_type","str","String(128","False","False","False","False","",""
"webhook_events","id","uuid.UUID","UUID(as_uuid=True","unknown","True","False","False","uuid.uuid4",""
"webhook_events","payload","dict | None","JSONB","True","False","False","False","",""
"webhook_events","processed_at","datetime | None","DateTime(timezone=True","True","False","False","False","",""
"webhook_events","stripe_event_id","str","String(128","False","False","True","False","",""
