"CanonicalPath","Method","Handler","UsedByPages","UsedByApps"
"/api/v1/console/public/plans","GET","console.public_list_plans","C:\Users\Calvin\Documents\PCWächter\server\home\src\app\api\checkout\route.ts [unknown] | C:\Users\Calvin\Documents\PCWächter\server\home\src\lib\api.ts [unknown]","home"
"/api/v1/console/ui/accounts","GET","console.ui_accounts","METHOD_MISMATCH: GET C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\AccountsPage.tsx","console"
"/api/v1/console/ui/accounts/{account_id}/role","PATCH","console.ui_update_account_role","METHOD_MISMATCH: PATCH C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\AccountsPage.tsx","console"
"/api/v1/console/ui/audit-log","GET","console.ui_audit_log","METHOD_MISMATCH: GET C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\AuditLogPage.tsx","console"
"/api/v1/console/ui/dashboard","GET","console.ui_dashboard","METHOD_MISMATCH: GET C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\DashboardPage.tsx","console"
"/api/v1/console/ui/devices","GET","console.ui_list_devices","METHOD_MISMATCH: GET C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\DevicesPage.tsx","console"
"/api/v1/console/ui/devices/{device_id}/block","POST","console.ui_block_device","METHOD_MISMATCH: POST C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\DeviceDetailPage.tsx","console"
"/api/v1/console/ui/devices/{device_id}/detail","GET","console.ui_device_detail","METHOD_MISMATCH: GET C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\DeviceDetailPage.tsx","console"
"/api/v1/console/ui/devices/{device_id}/unblock","POST","console.ui_unblock_device","METHOD_MISMATCH: POST C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\DeviceDetailPage.tsx","console"
"/api/v1/console/ui/features/{feature_key}/disable","POST","features.disable_feature","METHOD_MISMATCH: POST C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\FeatureRolloutsPage.tsx","console"
"/api/v1/console/ui/features/overrides","GET","features.list_feature_overrides","METHOD_MISMATCH: GET C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\FeatureRolloutsPage.tsx | POST C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\FeatureRolloutsPage.tsx","console"
"/api/v1/console/ui/features/overrides","POST","features.upsert_feature_override","METHOD_MISMATCH: GET C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\FeatureRolloutsPage.tsx | POST C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\FeatureRolloutsPage.tsx","console"
"/api/v1/console/ui/licenses","GET","console.ui_list_licenses","METHOD_MISMATCH: GET C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\LicensesPage.tsx","console"
"/api/v1/console/ui/licenses","POST","console.ui_create_licenses","METHOD_MISMATCH: GET C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\LicensesPage.tsx","console"
"/api/v1/console/ui/licenses/{license_key}/block","POST","console.ui_block_license","METHOD_MISMATCH: POST C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\LicensesPage.tsx","console"
"/api/v1/console/ui/licenses/{license_key}/revoke","PATCH","console.ui_revoke_license","METHOD_MISMATCH: POST C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\LicensesPage.tsx","console"
"/api/v1/console/ui/licenses/{license_key}/revoke","POST","console.ui_revoke_license_post","METHOD_MISMATCH: POST C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\LicensesPage.tsx","console"
"/api/v1/console/ui/licenses/{license_key}/unblock","POST","console.ui_unblock_license","METHOD_MISMATCH: POST C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\LicensesPage.tsx","console"
"/api/v1/console/ui/licenses/generate","POST","console.ui_generate_licenses","METHOD_MISMATCH: POST C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\LicensesPage.tsx","console"
"/api/v1/console/ui/notifications","GET","console.ui_notifications","METHOD_MISMATCH: GET C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\NotificationsPage.tsx","console"
"/api/v1/console/ui/notifications/{notification_id}/read","POST","console.ui_notification_mark_read","METHOD_MISMATCH: POST C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\NotificationsPage.tsx","console"
