"App","ServiceFile","ServiceFunction","Method","ApiPath","CanonicalPath"
"console","server\console\src\app\services\api-service.ts","blockDevice","POST","/console/ui/devices/${encodeURIComponent(deviceId)}/block","/api/v1/console/ui/devices/${encodeURIComponent(deviceId)}/block"
"console","server\console\src\app\services\api-service.ts","blockLicense","POST","/console/ui/licenses/${encodeURIComponent(key)}/block","/api/v1/console/ui/licenses/${encodeURIComponent(key)}/block"
"console","server\console\src\app\services\api-service.ts","disableFeature","POST","/console/ui/features/${encodeURIComponent(featureKey)}/disable","/api/v1/console/ui/features/${encodeURIComponent(featureKey)}/disable"
"console","server\console\src\app\services\api-service.ts","generateLicenses","POST","/console/ui/licenses/generate","/api/v1/console/ui/licenses/generate"
"console","server\console\src\app\services\api-service.ts","getAccounts","GET","/console/ui/accounts?${q}","/api/v1/console/ui/accounts?${q}"
"console","server\console\src\app\services\api-service.ts","getAuditLog","GET","/console/ui/audit-log?${q}","/api/v1/console/ui/audit-log?${q}"
"console","server\console\src\app\services\api-service.ts","getContainers","GET","/console/ui/server/containers","/api/v1/console/ui/server/containers"
"console","server\console\src\app\services\api-service.ts","getDashboard","GET","/console/ui/dashboard","/api/v1/console/ui/dashboard"
"console","server\console\src\app\services\api-service.ts","getDeviceDetail","GET","/console/ui/devices/${encodeURIComponent(deviceId)}/detail","/api/v1/console/ui/devices/${encodeURIComponent(deviceId)}/detail"
"console","server\console\src\app\services\api-service.ts","getDevices","GET","/console/ui/devices?${q}","/api/v1/console/ui/devices?${q}"
"console","server\console\src\app\services\api-service.ts","getFeatureOverrides","GET","/console/ui/features/overrides","/api/v1/console/ui/features/overrides"
"console","server\console\src\app\services\api-service.ts","getHostInfo","GET","/console/ui/server/host","/api/v1/console/ui/server/host"
"console","server\console\src\app\services\api-service.ts","getLicenses","GET","/console/ui/licenses?${q}","/api/v1/console/ui/licenses?${q}"
"console","server\console\src\app\services\api-service.ts","getNotifications","GET","/console/ui/notifications","/api/v1/console/ui/notifications"
"console","server\console\src\app\services\api-service.ts","getPlans","GET","/console/ui/plans","/api/v1/console/ui/plans"
"console","server\console\src\app\services\api-service.ts","getTelemetry","GET","/console/ui/telemetry?${q}","/api/v1/console/ui/telemetry?${q}"
"console","server\console\src\app\services\api-service.ts","getTelemetryChart","GET","/console/ui/telemetry/chart?category=${category}&hours=${hours}","/api/v1/console/ui/telemetry/chart?category=${category}&hours=${hours}"
"console","server\console\src\app\services\api-service.ts","markNotificationRead","POST","/console/ui/notifications/${encodeURIComponent(id)}/read","/api/v1/console/ui/notifications/${encodeURIComponent(id)}/read"
"console","server\console\src\app\services\api-service.ts","patchLicense","PATCH","/console/ui/licenses/${encodeURIComponent(key)}","/api/v1/console/ui/licenses/${encodeURIComponent(key)}"
"console","server\console\src\app\services\api-service.ts","revokeLicense","POST","/console/ui/licenses/${encodeURIComponent(key)}/revoke","/api/v1/console/ui/licenses/${encodeURIComponent(key)}/revoke"
"console","server\console\src\app\services\api-service.ts","search","GET","/console/ui/search?q=${encodeURIComponent(q)}","/api/v1/console/ui/search?q=${encodeURIComponent(q)}"
"console","server\console\src\app\services\api-service.ts","unblockDevice","POST","/console/ui/devices/${encodeURIComponent(deviceId)}/unblock","/api/v1/console/ui/devices/${encodeURIComponent(deviceId)}/unblock"
"console","server\console\src\app\services\api-service.ts","unblockLicense","POST","/console/ui/licenses/${encodeURIComponent(key)}/unblock","/api/v1/console/ui/licenses/${encodeURIComponent(key)}/unblock"
"console","server\console\src\app\services\api-service.ts","updateAccountRole","PATCH","/console/ui/accounts/${accountId}/role","/api/v1/console/ui/accounts/${accountId}/role"
"console","server\console\src\app\services\api-service.ts","upsertFeatureOverride","POST","/console/ui/features/overrides","/api/v1/console/ui/features/overrides"
"console","server\console\src\app\services\api-service.ts","upsertPlan","PUT","/console/ui/plans/${planId}","/api/v1/console/ui/plans/${planId}"
"home","server\home\src\lib\api.ts","getLicenseStatus","GET","/license/status","/api/v1/license/status"
"home","server\home\src\lib\api.ts","getPlans","GET","/console/public/plans","/api/v1/console/public/plans"
